Country,Region,Population,Area_sq_mi,Pop_Density_per_sq_mi,Coastline_coast_area_ratio,Net_migration,Infant_mortality_per_thousand_birth,Literacy,Phones_per_thousand,Arable,Crops,Climate,Birthrate,Deathrate,Agriculture,Industry,Service
Afghanistan,Asia,31056997,647500,48,0,23.06,163.07,36,3.2,12.13,0.22,1,46.6,20.34,0.38,0.24,0.38
Albania,Europe,3581655,28748,124.6,1.26,-4.93,21.52,86.5,71.2,21.09,4.42,3,15.11,5.22,0.232,0.188,0.579
Algeria,Africa,32930091,2381740,13.8,0.04,-0.39,31,70,78.1,3.22,0.25,1,17.14,4.61,0.101,0.6,0.298
AmericanSamoa,Oceania,57794,199,290.4,58.29,-20.71,9.27,97,259.5,10,15,2,22.46,3.27,,,
Andorra,Europe,71201,468,152.1,0,6.6,4.05,100,497.2,2.22,0,3,8.71,6.25,,,
Angola,Africa,12127071,1246700,9.7,0.13,0,191.19,42,7.8,2.41,0.24,,45.11,24.2,0.096,0.658,0.246
Anguilla,NorthAmerica,13477,102,132.1,59.8,10.76,21.03,95,460,0,0,2,14.17,5.34,0.04,0.18,0.78
Antigua&Barbuda,NorthAmerica,69108,443,156,34.54,-6.15,19.46,89,549.9,18.18,4.55,2,16.93,5.37,0.038,0.22,0.743
Argentina,SouthAmerica,39921833,2766890,14.4,0.18,0.61,15.18,97.1,220.4,12.31,0.48,3,16.73,7.55,0.095,0.358,0.547
Armenia,Asia,2976372,29800,99.9,0,-6.47,23.28,98.6,195.7,17.55,2.3,4,12.07,8.23,0.239,0.343,0.418
Aruba,NorthAmerica,71891,193,372.5,35.49,0,5.89,97,516.1,10.53,0,2,11.03,6.68,0.004,0.333,0.663
Australia,Oceania,20264082,7686850,2.6,0.34,3.98,4.69,100,565.5,6.55,0.04,1,12.14,7.51,0.038,0.262,0.7
Austria,Europe,8192880,83870,97.7,0,2,4.66,98,452.2,16.91,0.86,3,8.74,9.76,0.018,0.304,0.678
Azerbaijan,Asia,7961619,86600,91.9,0,-4.9,81.74,97,137.1,19.63,2.71,1,20.74,9.75,0.141,0.457,0.402
Bahamas,NorthAmerica,303770,13940,21.8,25.41,-2.2,25.21,95.6,460.6,0.8,0.4,2,17.57,9.05,0.03,0.07,0.9
Bahrain,Asia,698585,665,1050.5,24.21,1.05,17.27,89.1,281.3,2.82,5.63,1,17.8,4.14,0.005,0.387,0.608
Bangladesh,Asia,147365352,144000,1023.4,0.4,-0.71,62.6,43.1,7.3,62.11,3.07,2,29.8,8.27,0.199,0.198,0.603
